Education,Marital_Status,Income,Recency,Wines,Fruits,Meat,Fish,Sweet,Gold,DealsPurchases,Web,Catalog,Store,WebVisitsMonth,Complain,Response,Age,Living_With,Total_Offsprings,Total_Expenditure,Family_Size,Total_Purchases,Campaigns_Accepted
Graduate,Married,46049.0,11,342,9,112,19,14,19,10,5,2,9,7,0,1,47,Partner,Three or More Children,515,4,33,0
Graduate,Together,56715.0,52,258,105,239,237,172,9,1,7,3,4,4,0,0,49,Partner,One Child,1020,2,19,0
Graduate,Married,79410.0,19,658,80,483,123,13,13,1,3,2,5,1,0,0,62,Partner,One Child,1370,2,12,0
Graduate,Married,57304.0,61,356,80,329,138,17,106,2,7,6,10,5,0,0,72,Partner,Two Children,1026,3,30,0
Graduate,Married,44375.0,73,213,5,28,7,7,41,1,4,1,6,5,0,0,58,Partner,Two Children,301,3,17,0
Graduate,Together,54450.0,0,454,0,171,8,19,32,12,9,2,8,8,0,0,67,Partner,Three or More Children,684,4,39,0
Graduate,Married,59594.0,74,457,4,29,0,0,9,1,8,1,7,7,0,0,58,Partner,Two Children,499,3,24,1
Postgraduate,Married,40344.0,48,210,0,6,0,0,2,2,4,1,5,7,0,0,49,Partner,Two Children,218,3,19,0
Graduate,Married,62710.0,53,441,35,83,7,29,11,4,4,2,12,4,0,0,51,Partner,Two Children,606,3,26,0
Undergraduate,Married,48985.0,13,19,13,18,10,7,8,1,1,1,3,3,0,0,55,Partner,Two Children,75,3,9,0
Graduate,Together,35322.0,34,28,9,37,12,7,13,3,2,0,4,8,0,0,55,Partner,Three or More Children,106,5,17,0
Graduate,Married,77142.0,54,476,75,162,29,151,97,1,4,4,8,2,0,0,75,Partner,One Child,990,2,19,0
Graduate,Single,81657.0,69,364,40,425,158,60,50,1,3,4,8,1,0,0,54,Alone,One Child,1097,1,17,0
Undergraduate,Married,20130.0,99,0,6,3,7,6,12,1,1,0,3,8,0,0,49,Partner,One Child,34,2,13,0
Postgraduate,Married,66726.0,61,349,7,35,0,0,47,3,8,2,4,7,0,0,66,Partner,Three or More Children,438,4,24,1
Undergraduate,Together,23724.0,65,5,23,15,0,18,14,2,2,0,3,8,0,0,44,Partner,Two Children,75,3,15,0
Postgraduate,Married,47353.0,93,184,2,19,8,8,4,3,2,2,6,5,0,0,63,Partner,Two Children,225,3,18,0
Postgraduate,Married,33444.0,24,8,0,8,0,0,2,1,1,0,2,8,0,0,71,Partner,Three or More Children,18,4,12,0
Graduate,Married,54386.0,8,277,21,64,62,21,25,2,3,2,10,3,0,0,42,Partner,Two Children,470,3,20,0
Graduate,Divorced,28510.0,72,44,5,19,0,4,19,3,2,0,4,5,0,0,42,Alone,Three or More Children,91,3,14,0
Graduate,Together,48070.0,33,373,14,83,6,9,19,3,8,2,6,7,1,0,73,Partner,Two Children,504,3,26,0
Graduate,Married,43140.0,68,134,8,76,6,0,11,1,4,1,5,6,0,0,66,Partner,Two Children,235,3,17,0
Postgraduate,Divorced,54959.0,55,1148,0,60,0,0,24,3,9,5,4,7,0,1,62,Alone,Two Children,1232,2,28,1
Undergraduate,Single,15056.0,76,6,12,3,21,6,40,5,2,2,3,5,0,0,65,Alone,Three or More Children,88,3,17,0
Graduate,Single,26954.0,17,4,1,11,0,0,1,1,1,0,2,7,0,0,52,Alone,Two Children,17,2,11,0
Graduate,Single,22327.0,94,5,4,8,2,0,5,1,1,0,3,5,0,0,38,Alone,Two Children,24,2,10,0
Graduate,Married,44393.0,86,24,2,20,2,2,10,2,1,0,4,4,0,0,58,Partner,Three or More Children,60,4,11,0
Postgraduate,Single,62000.0,25,899,0,101,0,0,20,1,6,6,13,4,0,0,71,Alone,Two Children,1020,2,30,1
Postgraduate,Together,31497.0,22,108,1,28,13,1,4,2,3,1,4,8,0,0,61,Partner,Two Children,155,3,18,0
Undergraduate,Married,45894.0,15,27,2,7,0,2,13,1,1,0,3,5,0,0,49,Partner,Three or More Children,51,4,10,0
Postgraduate,Divorced,78579.0,35,816,66,549,216,66,99,1,5,6,4,3,0,1,53,Alone,One Child,1812,1,19,0
Postgraduate,Widow,67369.0,81,1298,0,70,37,14,42,4,7,4,10,4,0,1,54,Alone,Two Children,1461,2,29,2
Graduate,Divorced,58401.0,55,10,0,11,17,29,29,1,1,2,2,4,0,0,63,Alone,Two Children,96,2,10,0
Graduate,Single,62307.0,94,87,13,34,10,6,10,1,4,0,4,5,0,0,71,Alone,Two Children,160,2,14,0
Postgraduate,Married,43641.0,50,57,2,51,4,2,23,3,2,1,4,6,0,0,54,Partner,Three or More Children,139,4,16,0
Postgraduate,Divorced,63841.0,64,635,15,100,20,7,131,1,9,3,9,6,0,0,55,Alone,Two Children,908,2,28,0
Undergraduate,Married,46891.0,91,43,12,23,29,15,61,1,2,1,4,4,0,0,58,Partner,Two Children,183,3,12,0
Postgraduate,Married,70091.0,11,964,34,137,15,0,11,2,5,2,10,8,0,0,54,Partner,Two Children,1161,3,27,1
Postgraduate,Married,78075.0,72,572,8,259,34,35,80,1,3,5,5,1,0,0,51,Partner,One Child,988,2,15,0
Undergraduate,Widow,59184.0,6,341,142,113,259,151,66,3,6,6,12,5,0,0,62,Alone,Two Children,1072,2,32,0
Graduate,Married,54809.0,0,63,6,57,13,13,22,4,2,1,5,4,0,0,46,Partner,Three or More Children,174,4,16,0
Graduate,Married,58113.0,66,221,104,169,102,78,84,3,9,2,8,7,1,0,64,Partner,Two Children,758,3,29,0
Postgraduate,Married,51412.0,42,140,3,29,4,5,14,2,3,2,4,4,0,0,65,Partner,Two Children,195,3,15,0
Graduate,Divorced,15287.0,60,1,2,8,4,3,13,2,1,1,2,7,0,1,44,Alone,Two Children,31,2,13,1
Postgraduate,Together,66636.0,64,291,10,689,84,10,0,1,3,4,9,1,0,0,66,Partner,One Child,1084,2,18,0
Postgraduate,Married,50965.0,87,544,13,85,8,6,29,3,10,4,5,8,0,0,67,Partner,Two Children,685,3,30,1
Postgraduate,Married,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,58,Partner,One Child,1672,2,28,1
Postgraduate,Together,40451.0,54,35,0,4,0,0,10,1,1,1,2,5,0,0,66,Partner,Three or More Children,49,4,10,1
Graduate,Together,36317.0,53,87,3,25,3,2,13,2,3,0,4,7,0,0,58,Partner,Two Children,133,3,16,0
Graduate,Together,42213.0,96,309,3,24,4,3,20,2,5,1,7,7,0,0,66,Partner,Two Children,363,3,22,1
Graduate,Together,65748.0,58,172,73,93,95,78,34,2,2,4,10,1,1,0,68,Partner,Two Children,545,3,19,0
Graduate,Together,77044.0,12,625,38,242,50,34,76,2,7,11,11,4,0,0,51,Partner,Two Children,1065,3,35,1
Graduate,Together,74918.0,78,972,59,913,25,19,59,1,5,9,6,3,0,0,54,Partner,One Child,2047,2,24,1
Graduate,Married,56721.0,64,157,6,39,6,13,75,5,4,1,5,6,0,0,51,Partner,Three or More Children,296,4,21,0
Graduate,Single,42160.0,26,48,9,45,3,15,20,4,2,1,4,6,0,1,48,Alone,Three or More Children,140,3,17,0
Graduate,Single,61559.0,8,279,83,88,32,14,34,1,4,2,10,3,0,0,58,Alone,Two Children,530,2,20,0
Postgraduate,Together,33629.0,49,132,0,16,0,0,4,5,3,1,4,9,0,0,60,Partner,Three or More Children,152,4,22,0
Graduate,Single,34377.0,55,62,0,22,3,1,26,2,2,2,2,7,0,0,60,Alone,Two Children,114,2,15,0
Undergraduate,Single,8940.0,25,1,45,3,4,6,42,3,3,1,3,8,0,0,37,Alone,Two Children,101,2,18,0
Graduate,Married,26228.0,50,2,6,4,3,1,9,1,1,0,2,8,0,0,50,Partner,Two Children,25,3,12,0
Undergraduate,Divorced,77297.0,84,408,61,109,48,122,41,1,5,7,9,4,0,0,66,Alone,One Child,789,1,26,1
Graduate,Married,40211.0,30,51,1,7,2,1,25,2,2,1,2,8,0,0,42,Partner,Three or More Children,87,4,15,1
Postgraduate,Widow,33438.0,81,62,1,16,3,2,6,4,2,1,4,5,0,0,65,Alone,Three or More Children,90,3,16,0
Postgraduate,Married,75032.0,74,952,12,180,47,12,12,2,5,4,9,3,0,0,64,Partner,Two Children,1215,3,23,0
Postgraduate,Single,61284.0,76,618,15,106,20,7,45,1,11,2,8,6,0,0,68,Alone,One Child,811,1,28,1
Graduate,Married,22518.0,36,11,7,12,2,2,27,2,2,1,2,5,0,1,37,Partner,Two Children,61,3,12,1
Postgraduate,Married,54730.0,64,318,3,17,4,7,56,5,4,1,8,4,0,0,48,Partner,Two Children,405,3,22,0
Postgraduate,Married,38452.0,62,56,0,14,0,0,2,3,3,0,3,7,0,0,68,Partner,Three or More Children,72,4,16,0
Graduate,Divorced,44421.0,53,110,5,59,7,1,7,5,5,0,4,8,0,0,52,Alone,Three or More Children,189,3,22,0
Postgraduate,Together,38197.0,86,23,0,11,2,1,3,1,1,0,3,5,0,0,37,Partner,Two Children,40,3,10,0
Graduate,Divorced,41986.0,15,27,5,8,8,3,12,3,3,0,4,4,0,0,45,Alone,Two Children,63,2,14,0
Graduate,Together,28427.0,67,18,3,19,3,3,6,2,2,0,3,8,0,0,40,Partner,Two Children,52,3,15,0
Postgraduate,Together,37395.0,47,18,0,9,0,1,11,1,1,0,3,6,0,0,47,Partner,Two Children,39,3,11,0
Graduate,Married,64722.0,47,303,0,280,60,147,15,4,8,2,11,6,0,0,52,Partner,Two Children,805,3,31,0
Postgraduate,Together,55249.0,81,97,1,19,2,0,11,1,2,1,4,3,0,0,67,Partner,Two Children,130,3,11,0
Graduate,Together,84906.0,98,997,15,414,99,30,76,1,5,6,12,2,0,0,51,Partner,One Child,1631,2,26,3
Graduate,Single,44213.0,48,95,11,35,0,4,7,4,2,1,5,6,0,0,71,Alone,Three or More Children,152,3,18,0
Undergraduate,Single,25707.0,18,1,6,2,3,6,3,1,1,0,3,7,0,0,39,Alone,Two Children,21,2,12,0
Postgraduate,Married,59062.0,74,46,1,12,3,0,9,2,2,0,3,4,0,0,56,Partner,Three or More Children,71,5,11,0
Graduate,Single,76624.0,68,411,106,147,54,115,66,1,5,10,7,1,0,0,61,Alone,Two Children,899,2,24,1
Postgraduate,Together,66000.0,36,244,51,270,101,0,45,1,1,3,5,1,0,0,76,Partner,One Child,711,2,11,0
Postgraduate,Together,27683.0,90,152,9,121,12,12,45,4,6,2,4,8,0,0,45,Partner,Two Children,351,3,24,0
Graduate,Divorced,1730.0,65,1,1,3,1,1,1,15,0,0,0,20,0,0,52,Alone,One Child,8,1,35,0
Graduate,Together,40521.0,82,12,0,5,0,0,4,1,0,1,2,5,0,0,55,Partner,Three or More Children,21,4,9,0
Postgraduate,Together,20427.0,63,5,0,4,0,0,1,1,1,0,2,8,0,0,50,Partner,Two Children,10,3,12,0
Graduate,Married,65106.0,55,790,19,133,12,0,19,3,8,3,13,6,0,0,48,Partner,Two Children,973,3,33,1
Postgraduate,Married,69969.0,64,882,29,514,38,29,44,1,4,2,6,3,0,1,58,Partner,One Child,1536,2,16,2
Graduate,Married,67433.0,51,615,28,259,12,48,30,4,6,5,13,4,0,0,71,Partner,Three or More Children,992,4,32,1
Postgraduate,Married,77766.0,97,1004,59,265,115,59,27,2,11,10,11,6,0,1,56,Partner,Two Children,1529,3,40,1
Graduate,Married,74716.0,92,133,27,421,13,195,71,2,7,3,5,4,0,0,51,Partner,Two Children,860,3,21,0
Graduate,Divorced,68118.0,51,595,23,123,10,23,154,2,8,9,4,6,0,0,60,Alone,Two Children,928,2,29,0
Postgraduate,Married,55158.0,72,293,0,87,4,11,23,4,7,2,5,7,0,1,53,Partner,Three or More Children,418,4,25,0
Undergraduate,Married,62972.0,39,313,15,47,20,0,192,2,7,4,3,6,0,1,68,Partner,Two Children,587,3,22,0
Graduate,Married,74190.0,49,151,81,86,168,91,64,2,4,2,11,2,0,0,48,Partner,Two Children,641,3,21,0
Graduate,Married,39356.0,21,15,0,2,0,0,6,1,1,0,2,6,0,0,47,Partner,Three or More Children,23,4,10,1
Graduate,Together,76653.0,91,736,63,946,219,189,126,1,4,7,11,2,0,0,54,Partner,One Child,2279,2,25,2
Postgraduate,Divorced,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,0,0,50,Alone,Three or More Children,49,3,11,1
Postgraduate,Divorced,90687.0,98,982,17,672,23,34,51,1,6,2,8,2,0,1,40,Alone,One Child,1779,1,19,1
Postgraduate,Together,73450.0,85,1142,51,415,90,69,37,1,7,8,11,3,0,0,41,Partner,One Child,1804,2,30,2
Graduate,Married,31454.0,40,28,0,11,0,0,9,3,2,0,3,8,0,0,63,Partner,Three or More Children,48,4,16,0
Graduate,Single,47139.0,2,46,0,12,0,2,23,2,2,1,2,7,0,1,71,Alone,Three or More Children,83,3,14,0
Graduate,Divorced,83829.0,78,897,161,430,186,161,27,0,4,7,6,1,0,1,48,Alone,One Child,1862,1,18,3
Postgraduate,Married,53378.0,41,489,6,152,8,6,132,10,9,4,6,8,0,1,60,Partner,Three or More Children,793,4,37,0
Graduate,Together,19656.0,94,25,4,9,6,8,32,3,2,1,3,7,0,0,53,Partner,Two Children,84,3,16,0
Postgraduate,Married,45579.0,10,145,1,33,2,1,1,1,4,1,4,6,0,0,75,Partner,Two Children,183,3,16,0
Undergraduate,Single,85485.0,73,630,26,611,44,18,54,1,6,6,6,2,0,0,65,Alone,One Child,1383,1,21,0
Postgraduate,Single,64191.0,30,420,15,186,151,38,15,3,5,3,13,3,0,0,60,Alone,Two Children,825,2,27,0
Graduate,Single,38808.0,21,125,17,52,3,19,30,4,5,1,4,8,0,1,51,Alone,Two Children,246,2,22,1
Postgraduate,Married,57183.0,51,464,5,64,7,0,70,8,9,1,7,8,0,0,57,Partner,Three or More Children,610,4,33,0
Postgraduate,Divorced,23748.0,97,6,6,29,12,15,8,3,2,1,3,8,0,0,55,Alone,Two Children,76,2,17,0
Graduate,Married,66303.0,56,1090,12,96,16,12,60,4,3,4,11,8,0,0,52,Partner,Two Children,1286,3,30,1
Postgraduate,Married,37368.0,4,3,2,11,2,2,10,1,1,0,2,6,0,0,48,Partner,Two Children,30,3,10,1
Graduate,Married,40800.0,77,24,0,27,8,30,10,2,3,0,3,7,1,0,59,Partner,Three or More Children,99,5,15,0
Graduate,Divorced,71847.0,95,737,21,106,55,63,210,0,6,7,9,3,0,0,45,Alone,One Child,1192,1,25,1
Graduate,Married,46149.0,36,254,6,71,4,0,27,5,5,1,7,5,0,0,48,Partner,Two Children,362,3,23,0
Graduate,Together,78687.0,13,817,185,687,145,55,241,1,4,6,8,2,0,1,40,Partner,One Child,2130,2,21,1
Undergraduate,Divorced,49118.0,90,620,54,239,99,98,119,2,9,7,10,7,0,1,52,Alone,One Child,1229,1,35,2
Postgraduate,Married,37633.0,49,13,4,20,0,0,1,2,1,0,3,9,0,0,66,Partner,Three or More Children,38,4,15,0
Postgraduate,Together,39767.0,18,113,61,204,34,26,47,2,7,1,7,8,0,0,72,Partner,One Child,485,2,25,0
Undergraduate,Married,26997.0,89,7,23,78,133,49,144,2,4,2,5,7,0,0,72,Partner,One Child,434,2,20,0
Graduate,Divorced,33986.0,43,16,2,18,2,1,5,1,1,0,3,7,0,0,53,Alone,Two Children,44,2,12,0
Postgraduate,Married,57091.0,82,462,0,24,6,0,4,2,9,2,5,7,0,1,51,Partner,Two Children,496,3,25,1
Undergraduate,Married,46831.0,84,22,2,10,6,4,34,2,1,2,2,4,0,0,54,Partner,Three or More Children,78,4,11,0
Postgraduate,Married,83151.0,80,968,147,842,137,42,210,1,5,7,10,2,0,1,51,Partner,One Child,2346,2,25,3
Graduate,Married,52531.0,68,283,112,151,51,72,125,2,7,2,10,6,0,0,52,Partner,One Child,794,2,27,0
Graduate,Married,15759.0,12,1,2,5,6,0,3,1,1,0,2,7,0,0,67,Partner,One Child,17,2,11,0
Graduate,Single,22804.0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,52,Alone,Two Children,26,2,14,0
Undergraduate,Married,43050.0,10,30,5,24,6,3,8,2,2,0,4,5,0,0,50,Partner,Two Children,76,3,13,0
Postgraduate,Single,42997.0,91,4,0,5,0,1,5,1,1,0,2,7,0,0,46,Alone,Three or More Children,15,3,11,0
Postgraduate,Single,48918.0,21,52,0,9,0,0,1,2,1,0,4,4,0,0,60,Alone,Three or More Children,62,3,11,0
Postgraduate,Together,60033.0,28,62,1,57,19,11,48,2,2,1,5,2,0,0,69,Partner,Two Children,198,3,12,0
Postgraduate,Together,34043.0,97,20,2,14,3,0,10,1,2,0,2,9,0,0,45,Partner,Two Children,49,3,14,0
Graduate,Together,57811.0,49,545,7,114,37,21,78,5,7,2,11,5,0,0,57,Partner,Two Children,802,3,30,1
Graduate,Married,78569.0,14,558,79,622,207,175,95,1,4,6,4,1,0,1,77,Partner,One Child,1736,2,16,1
Graduate,Single,7500.0,5,6,5,4,13,4,25,4,2,1,3,6,0,0,45,Alone,Three or More Children,57,3,16,0
Postgraduate,Together,157733.0,37,39,1,9,2,0,8,0,1,0,1,1,0,0,52,Partner,Two Children,59,3,3,0
Graduate,Together,94384.0,62,1111,24,790,160,45,172,0,5,8,5,2,0,1,70,Partner,One Child,2302,2,20,3
Undergraduate,Married,23148.0,83,4,6,8,6,3,10,1,2,0,3,7,0,0,38,Partner,One Child,37,2,13,0
Graduate,Divorced,44267.0,48,183,5,65,3,5,49,5,5,2,4,9,0,0,53,Alone,Three or More Children,310,3,25,0
Graduate,Married,71626.0,94,546,72,376,94,145,72,1,5,5,8,3,0,0,44,Partner,One Child,1305,2,22,1
Graduate,Together,60894.0,61,606,7,155,10,0,54,5,10,3,8,7,0,0,57,Partner,Two Children,832,3,33,0
Graduate,Together,50200.0,70,266,6,51,8,6,64,6,7,1,5,8,0,0,47,Partner,Three or More Children,401,4,27,0
Postgraduate,Married,81051.0,43,1142,29,249,38,29,14,1,5,5,12,2,0,0,58,Partner,One Child,1501,2,25,2
Graduate,Married,65169.0,23,1074,0,69,0,0,46,1,10,4,13,6,0,1,41,Partner,One Child,1189,2,34,4
Graduate,Together,59868.0,37,771,51,154,54,10,154,7,11,2,12,6,0,0,51,Partner,Two Children,1194,3,38,0
Postgraduate,Married,65695.0,50,371,32,189,0,58,6,2,5,4,10,4,0,0,63,Partner,Two Children,656,3,25,0
Postgraduate,Single,64857.0,78,556,14,717,210,0,43,1,7,5,10,4,0,0,67,Alone,One Child,1540,1,27,0
Postgraduate,Together,45143.0,74,202,5,74,11,5,14,3,6,1,5,7,0,0,58,Partner,Two Children,311,3,22,0
Undergraduate,Together,74805.0,14,209,162,209,41,162,37,5,4,7,10,2,0,0,68,Partner,Two Children,820,3,28,0
Postgraduate,Single,27238.0,39,37,0,17,0,0,3,3,3,0,3,9,0,0,61,Alone,Three or More Children,57,3,18,0
Graduate,Together,47009.0,89,171,45,73,59,10,90,4,3,2,8,4,0,0,58,Partner,Two Children,448,3,21,0
Undergraduate,Married,46094.0,62,12,2,20,3,2,5,1,1,0,3,7,0,0,50,Partner,Three or More Children,44,4,12,0
Graduate,Married,40321.0,59,44,4,21,6,0,27,2,3,0,3,7,0,0,51,Partner,Three or More Children,102,4,15,0
Graduate,Together,37235.0,68,20,2,9,4,6,20,1,1,1,2,4,0,0,39,Partner,Two Children,61,3,9,0
Postgraduate,Married,81843.0,13,779,86,537,34,69,138,1,5,9,12,3,0,0,63,Partner,One Child,1643,2,30,0
Postgraduate,Together,46692.0,37,170,6,97,24,12,88,3,6,1,5,6,0,0,65,Partner,Two Children,397,3,21,0
Graduate,Together,77382.0,36,491,48,231,112,105,134,2,5,7,12,1,0,0,55,Partner,Two Children,1121,3,27,1
Graduate,Single,37774.0,28,173,8,107,7,2,176,4,7,2,3,9,1,1,46,Alone,Three or More Children,473,3,25,1
Undergraduate,Married,18393.0,2,7,10,13,16,0,4,2,3,0,3,8,0,0,49,Partner,Two Children,50,3,16,0
Postgraduate,Married,72828.0,17,1205,0,235,19,14,205,6,6,3,13,7,0,0,61,Partner,Two Children,1678,3,35,0
Graduate,Married,24711.0,86,10,7,25,6,3,7,1,3,0,3,7,0,0,41,Partner,One Child,58,2,14,0
Postgraduate,Married,45503.0,54,97,4,44,6,1,18,1,3,1,4,5,0,0,48,Partner,Two Children,170,3,14,0
Postgraduate,Single,6560.0,2,67,11,26,4,3,262,0,1,0,1,17,0,0,41,Alone,One Child,373,1,19,0
Postgraduate,Together,71604.0,3,345,53,528,98,75,97,1,8,3,5,4,0,1,78,Partner,One Child,1196,2,21,1
Graduate,Married,27244.0,84,6,5,17,3,24,46,2,2,2,2,7,0,0,44,Partner,Two Children,101,3,15,0
Graduate,Married,48752.0,8,73,57,100,71,15,0,5,6,1,5,9,0,1,54,Partner,Three or More Children,316,4,26,0
Graduate,Married,71434.0,4,711,36,217,172,96,168,3,7,4,7,4,0,0,61,Partner,Two Children,1400,3,25,2
Graduate,Single,90842.0,57,774,70,118,182,187,93,1,4,9,13,1,0,0,75,Alone,One Child,1424,1,28,0
Postgraduate,Married,88097.0,24,163,0,480,0,126,75,1,6,5,8,9,0,1,45,Partner,Two Children,844,3,29,3
Graduate,Married,51948.0,51,82,33,54,71,30,41,2,5,2,4,5,0,0,48,Partner,Two Children,311,3,18,0
Graduate,Together,71853.0,29,358,108,413,141,97,32,1,2,8,6,1,0,0,41,Partner,One Child,1149,2,18,0
Postgraduate,Married,35876.0,13,66,2,40,4,3,14,1,3,1,3,6,0,0,40,Partner,One Child,129,2,14,0
Graduate,Widow,40049.0,23,13,6,7,0,3,3,1,1,0,3,6,0,0,71,Alone,Two Children,32,2,11,0
Graduate,Single,39660.0,36,139,13,78,20,13,36,3,7,1,3,9,0,1,41,Alone,Two Children,299,2,23,0
Graduate,Together,50127.0,88,274,0,21,4,6,15,1,5,1,6,6,0,0,61,Partner,Two Children,320,3,19,1
Postgraduate,Married,43263.0,2,262,6,61,0,10,102,3,5,2,6,5,0,0,46,Partner,Two Children,441,3,21,0
Postgraduate,Married,62845.0,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,74,Partner,Three or More Children,1178,4,36,1
Undergraduate,Single,24367.0,58,2,4,2,0,11,5,1,1,0,2,9,0,0,41,Alone,Two Children,24,2,13,0
Graduate,Single,33249.0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,48,Alone,Two Children,112,2,14,0
Undergraduate,Married,26887.0,27,6,7,4,3,4,6,1,1,0,3,6,0,0,64,Partner,Two Children,30,3,11,0
Postgraduate,Married,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,40,Partner,One Child,410,2,21,0
Graduate,Together,62061.0,12,641,7,84,0,30,38,3,10,4,7,6,0,0,47,Partner,Two Children,800,3,30,1
Postgraduate,Divorced,85696.0,88,714,76,395,116,0,12,1,4,6,9,1,0,1,61,Alone,One Child,1313,1,21,0
Postgraduate,Together,76542.0,91,794,73,573,0,29,14,1,4,8,10,2,0,0,67,Partner,One Child,1483,2,25,0
Graduate,Together,18227.0,21,1,2,7,4,3,11,1,0,1,2,8,0,0,36,Partner,Two Children,28,3,12,0
Graduate,Married,69139.0,23,86,12,75,33,15,6,1,4,1,5,4,0,0,58,Partner,Two Children,227,3,15,0
Graduate,Married,69109.0,10,823,25,459,124,29,95,1,6,6,7,4,0,1,41,Partner,One Child,1555,2,24,1
Graduate,Single,69627.0,35,231,161,215,171,30,53,2,8,2,11,5,0,0,61,Alone,Two Children,861,2,28,0
Graduate,Married,38136.0,69,8,15,27,0,20,33,2,3,1,2,8,0,0,45,Partner,Two Children,103,3,16,1
Postgraduate,Single,62159.0,68,182,17,259,77,70,29,1,6,2,10,4,0,0,77,Alone,One Child,634,1,23,0
Graduate,Single,80695.0,85,557,129,984,193,37,18,1,5,8,5,2,0,0,60,Alone,One Child,1918,1,21,0
Postgraduate,Single,33316.0,34,79,1,31,4,4,12,3,2,1,4,6,0,0,52,Alone,Three or More Children,131,3,16,0
Graduate,Together,58554.0,55,368,24,68,38,0,88,6,8,2,6,7,0,0,55,Partner,Three or More Children,586,4,29,0
Graduate,Divorced,53034.0,30,160,15,196,15,11,50,8,6,1,7,8,0,0,49,Alone,Three or More Children,447,3,30,0
Undergraduate,Together,52203.0,36,488,21,238,56,108,28,1,8,7,11,6,0,0,73,Partner,One Child,939,2,33,0
Undergraduate,Divorced,59601.0,14,691,7,69,0,7,23,4,2,2,7,8,0,0,46,Alone,Two Children,797,2,23,1
Postgraduate,Single,75154.0,79,543,10,205,160,143,82,1,6,3,6,3,0,1,65,Alone,Two Children,1143,2,19,0
Graduate,Single,47025.0,52,254,7,108,20,0,26,3,6,3,5,6,0,0,47,Alone,Two Children,415,2,23,0
Graduate,Married,37971.0,97,5,4,10,2,2,7,1,1,0,3,8,0,0,50,Partner,Two Children,30,3,13,0
Postgraduate,Divorced,41335.0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,55,Alone,Two Children,187,2,19,0
Graduate,Married,67267.0,0,134,11,59,15,2,30,1,3,2,5,2,0,0,65,Partner,Two Children,251,3,13,0
Graduate,Single,57338.0,96,143,6,52,11,8,17,2,4,1,5,5,0,0,48,Alone,Two Children,237,2,17,0
Undergraduate,Together,50523.0,89,51,4,24,4,7,1,2,2,0,4,6,0,0,63,Partner,Three or More Children,91,4,14,0
Postgraduate,Single,35791.0,94,27,0,5,0,0,3,2,1,0,3,8,0,0,58,Alone,Three or More Children,35,4,14,0
Postgraduate,Divorced,50611.0,98,459,0,24,6,0,4,6,4,5,7,6,0,0,63,Alone,Two Children,493,2,28,1
Postgraduate,Married,56242.0,72,689,8,167,11,8,88,5,8,4,11,6,0,0,54,Partner,Two Children,971,3,34,0
Graduate,Single,48904.0,1,283,10,38,0,13,27,4,7,2,4,8,0,0,63,Alone,Two Children,371,2,25,0
Graduate,Single,56243.0,26,347,0,35,4,3,7,6,4,2,8,5,0,0,48,Alone,Three or More Children,396,4,25,0
Graduate,Married,21355.0,5,5,13,14,0,5,31,2,2,1,2,6,0,1,38,Partner,Two Children,68,3,13,1
Postgraduate,Together,57420.0,22,280,0,18,0,0,24,3,5,1,6,7,0,0,52,Partner,Two Children,322,3,22,1
Postgraduate,Together,51412.0,39,187,5,65,26,20,14,2,4,2,6,5,0,0,53,Partner,Two Children,317,3,19,0
Postgraduate,Divorced,46390.0,56,95,14,64,2,9,38,1,4,2,3,7,0,0,68,Alone,Two Children,222,2,17,0
Undergraduate,Together,54342.0,74,84,10,34,11,10,28,4,3,1,4,6,0,0,67,Partner,Three or More Children,177,4,18,0
Graduate,Together,51412.0,87,19,4,12,2,2,6,1,1,0,3,5,0,0,65,Partner,Three or More Children,45,4,10,0
Undergraduate,Single,51412.0,49,5,1,9,2,0,4,1,1,0,2,7,0,0,59,Alone,Three or More Children,21,3,11,0
Graduate,Married,20895.0,24,18,3,17,3,0,4,1,2,0,3,9,0,0,50,Partner,Two Children,45,3,15,0
Graduate,Married,92344.0,9,992,24,694,51,19,119,0,5,10,5,1,0,0,75,Partner,One Child,1899,2,21,2
Postgraduate,Together,51412.0,17,25,1,13,0,0,3,1,1,0,3,7,0,0,51,Partner,Two Children,42,3,12,0
Undergraduate,Together,26907.0,10,9,1,7,0,3,2,2,1,0,3,7,0,0,47,Partner,Three or More Children,22,4,13,0
Graduate,Together,44964.0,35,19,1,17,2,0,2,1,1,0,3,8,0,0,43,Partner,Three or More Children,41,4,13,0
Graduate,Together,75507.0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,44,Partner,One Child,1440,2,24,0
Postgraduate,Married,53761.0,7,158,0,76,13,7,71,6,4,4,3,5,0,0,51,Partner,Three or More Children,325,4,22,0
Graduate,Together,22682.0,51,10,14,29,4,2,36,3,2,1,4,4,0,0,50,Partner,Two Children,95,3,14,0
Postgraduate,Together,38887.0,17,25,1,13,0,0,3,1,1,0,3,7,0,0,51,Partner,Two Children,42,3,12,0
